	SRR10738313	SRR10738318	SRR10738253	SRR10738254
CUEDC2	2175.09359642019	942.611925724069	4774.42953738361	2592.28603192749
CUL1	2839.55769280178	2004.40600679834	1867.44213311802	968.214903360339
CUL2	1143.48471928257	815.50273077723	1647.17327253519	843.693670419917
CUL3	3717.26413666107	2096.10961193053	3013.91497391857	2268.53950610647
CUL4A	2633.88786913527	2082.88048067705	1425.2727840879	993.325715964203
CUL4B	1440.15110372846	695.683950673693	1676.38540375682	1172.16897569044
CUL5	844.395235652726	534.494470050176	1496.84510005541	1344.07035168783
CUL7	335.277821514527	192.489642488242	884.00873797019	1115.76752269634
CUL9	103.98872382242	52.383473168529	315.325901980506	244.152946625509
CUTA	14839.9549584192	7873.13298914539	14818.8533735309	10956.8417834387
CUTC	1506.19583804518	941.378084170386	848.3423726204	743.023985720833
CUX1	639.707891300945	480.028868087912	1360.47298532586	990.918569952823
CUX2	94.4733657490736	86.8903866341894	168.460207832953	120.007849847957
CUZD1	19678.312686657	1735.07302964286	0	1.77748247237082
CWC15	2718.18402592595	1721.71150347571	2961.58123106181	2201.45343425594
CWC22	1702.85855194962	763.9199222007	713.731872308761	579.046618055968
CWC25	422.30782428443	279.358857227921	396.315409580244	389.24417104961
CWC27	2375.00229605522	1252.64837820134	1623.4567339967	887.477048656768
CWF19L1	1156.30408489561	727.039272380915	904.263586656415	483.266076319266
CWF19L2	761.661382751425	478.510081063312	615.71634146013	586.890538705291
CWH43	0	0.765829768231505	0	0
CX3CL1	49.7075505787951	31.7244748599061	439.346177759015	305.771983613243
CX3CR1	4.63348088387048	1.44516529008971	7.65516420099849	1.60228674565542
CXADR	6026.68902100374	2621.76464664745	5763.60625810876	3721.39596195516
CXCL1	6.07930391457647	15.1744613794834	3.73743255837432	189.903074013164
CXCL10	0	0	12.8161410076545	76.6944928653995
CXCL11	0	0	12.4248672140336	22.1431782410775
CXCL12	1283.39056073203	1681.52741707005	313.598905587513	197.076315191754
CXCL13	0	0	1.76214007122315	0
CXCL14	189.660613997991	64.2806946529529	1136.63114657637	10341.2689416527
CXCL16	31.0663282343087	15.2352388313247	23.4166908735974	26.7033784482705
CXCL17	0	0	0	0
CXCL2	16.7633182907231	1.90182894008348	65.4914458738657	98.7183548830741
CXCL3	49.8845017931559	63.9289589121529	44.4184553621924	132.988200644356
CXCL5	678.379929897405	313.69800460148	11.3226848695616	35.1721649014705
CXCL6	336.595926606724	178.667190063002	9.47805477582769	58.8419009316941
CXCL8	0	0	2.67955527833699	964.737109828421
CXCL9	0	0	0	0
CXCR1	0	0	0	0
CXCR2	56.4577562559492	52.8203763836464	1.23855183093493	0.574818841313767
CXCR3	0	0	0	0
CXCR4	88.8407029648888	30.2871855145743	6105.44866606003	3867.66855810081
CXCR5	0	0	1.15200676862841	0
CXCR6	0	0	0	1.69256569629327
CXXC1	1584.5182844925	1351.87252255556	1178.01977382454	748.319619144181
CXXC4	99.5260727864629	17.3089270964475	755.036244841175	392.758809933039
CXXC5	1521.82897719363	1259.38276263641	5045.59098718913	2914.40324062582
CXorf38	215.427937643516	136.056494025335	405.689685374634	355.862313938611
CXorf49	1.85319996774557	0	0	1.01404678906795
CXorf51A	0	0	0	0
CXorf51B	0	0	0	0
CXorf56	1421.38666702221	901.030353134764	1071.29822272119	828.954463652251
CXorf58	5.24553008046595	1.14635928556575	8.9303240300891	3.54464824631863
CXorf65	4.56172972430389	0	0	0
CXorf66	0	0	0	0
CYB561	583.65147806368	445.674025283222	1043.60857120953	720.163781260483
CYB561A3	622.987510023442	494.696700146357	256.990587586114	213.803446264972
CYB561D1	114.818645340232	57.9148705575183	257.236931253703	99.1222740088699
CYB561D2	417.744564218514	272.218508772909	628.316701785322	283.373239742538
CYB5A	5697.82643524958	6463.45374206947	2799.25866387965	1022.55373789799
CYB5B	7130.19264747518	6346.91570228088	3284.53973169779	2340.03961971025
CYB5D1	457.320859811316	350.227850243824	586.831504515352	277.757976814553
CYB5D2	325.454952225318	197.463569780175	1478.93909562419	1167.98296746587
CYB5R1	534.025691450997	332.12723543865	1833.7593580683	1498.74641610182
CYB5R2	2270.70300033371	1178.52167989171	53.2590428634691	466.03957314153
CYB5R3	1220.50230902364	1010.31027227647	1952.2306122597	1521.3409263806
CYB5R4	267.292570310098	202.537202580656	333.376836537764	110.925360948445
CYB5RL	325.963637777053	273.408369244396	292.706627173402	153.493375667122
CYBA	8248.91272293622	6569.38175510148	2007.42879017214	1918.47501989287
CYBB	2.34330279991007	0.742258392343219	2.40035827906963	5.26938698997363
CYBC1	1603.64799187944	1158.10793680909	1900.63267139254	1005.56401706005
CYBRD1	160.953198048032	170.77450539386	1063.65116859978	1763.39146157003
CYC1	5667.63034670379	4702.45465488926	3263.64245957726	2173.71584598794
CYCS	11398.0721656911	7841.41935429547	7768.135018987	3732.56885227404
CYFIP1	1825.72242176289	1618.09227142546	1479.66813921412	1167.74954040489
CYFIP2	1380.4198155929	1104.01970269459	3283.16980408681	2350.9231721071
CYGB	72.3265242885535	54.6635450613396	387.838423980649	139.110706471097
CYHR1	855.414919530392	537.630309919098	1793.82344882694	862.808129409064
CYLC1	0	0	0	1.64063726897257
CYLC2	0	0	0	0
CYLD	656.789258302629	512.758556269981	838.373169922649	482.507657875318
CYP11A1	116.021931087504	57.5191537345219	7.17565574515619	15.5186349014113
CYP11B1	0	0	0	0
CYP11B2	0	0	0	0.494009929957835
CYP17A1	0	0	0	0
CYP19A1	7.59219963192181	1.61564138468774	0.774249774326528	0
CYP1A1	1.70016580657368	5.59559057314494	50.15502253985	11.6922686653287
CYP1A2	8.57905135125027	7.55938259116229	4.56507369001099	2.01809045717255
CYP1B1	35.4472590281995	68.0489248963058	353.707341753511	1525.11721429637
CYP20A1	658.863308426969	421.884268360359	507.872145080001	372.012587917027
CYP21A2	4.08076521776365	2.493908027366	86.4644871639078	82.9713728755341
CYP24A1	0	2.54949130775407	0	39.5229894388445
CYP26A1	2375.53336831853	230.517752532107	68.4913117493987	89.3498206248544
CYP26B1	4.08714892848682	0.655030186960221	123.1212959838	83.5166213624013
CYP26C1	24.0313478452368	3.24138882035513	6.16298464950802	8.80635258853045
CYP27A1	148.890258431634	57.2415196245084	906.585547499434	1343.89609669349
CYP27B1	31.6217110672245	25.7107252555837	3.43818564011709	1.58002274601913
CYP27C1	86.1640043138542	44.3918451790417	6.8749820536375	9.37480580741299
CYP2A13	36.0097688806214	9.75688409538219	0	2.83229433119535
CYP2A6	1.71581901505926	0	2.49478814097891	0
CYP2A7	0	0	1.07053050606653	0
CYP2B6	1.85905898991616	4.35257453184087	6.12502497142044	2.56478140035428
CYP2C18	1.08343813705095	3.31503878405877	4.08834368736204	2.55487235262883
CYP2C19	2.80524734641895	4.32095783603862	4.54562451765751	8.72679798701318
CYP2C8	15.5876661405546	8.47558926880326	71.9575822947675	15.5147465409114
CYP2C9	16.6798053627693	7.95882566759253	9.85660025008985	4.65063594656066
CYP2D6	17.3608073799842	15.959543457123	40.1382482178298	9.31187081125803
CYP2D7	63.7947823551284	64.4677977420398	88.9720036242454	37.462597382363
CYP2E1	0	0	64.8179338011306	18.5414588970997
CYP2F1	8.58228693065791	1.65758996501109	0	0
CYP2J2	45.2800973999081	40.9366202241311	11.8896395076651	11.1496228713767
CYP2R1	519.558104198083	253.553931156362	979.781005785171	702.591496217973
